grid,laps,year,round,lat,lng,alt,position_quali,q1,q2,q3,points_driver_standing,position_driver_standing,wins,points_team_standing,position_team_standing,wins_team_standing,podium,age_at_race
15,43,2008,7,45.5,-73.5228,13,15.0,78.505,78.393,0.0,0.0,19.0,0.0,9.0,7.0,0.0,0,22.872005475701574
3,19,2008,7,45.5,-73.5228,13,3.0,77.301,77.364,78.735,35.0,4.0,2.0,73.0,1.0,4.0,0,28.643394934976044
1,19,2008,7,45.5,-73.5228,13,1.0,76.90899999999999,77.03399999999999,77.886,38.0,2.0,2.0,53.0,3.0,2.0,0,23.416837782340863
16,13,2008,7,45.5,-73.5228,13,17.0,79.108,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,0,25.4072553045859
2,70,2008,8,46.8642,3.16361,228,2.0,75.024,75.041,76.49,48.0,1.0,3.0,91.0,1.0,5.0,1,27.159479808350444
1,70,2008,8,46.8642,3.16361,228,1.0,75.133,75.161,76.449,43.0,3.0,2.0,91.0,1.0,5.0,1,28.681724845995895
4,70,2008,8,46.8642,3.16361,228,5.0,75.521,75.362,76.92,18.0,7.0,0.0,23.0,5.0,0.0,1,33.94387405886379
10,70,2008,8,46.8642,3.16361,228,6.0,75.965,75.639,76.944,20.0,6.0,0.0,58.0,3.0,2.0,0,26.67488021902806
5,70,2008,8,46.8642,3.16361,228,7.0,75.687,75.723,77.037,46.0,2.0,1.0,74.0,2.0,1.0,0,23.540041067761805
6,70,2008,8,46.8642,3.16361,228,8.0,76.02,75.488,77.233,18.0,8.0,0.0,24.0,4.0,0.0,0,31.81930184804928
9,70,2008,8,46.8642,3.16361,228,11.0,75.848,75.77,0.0,2.0,17.0,0.0,12.0,7.0,0.0,0,22.910335386721425
3,70,2008,8,46.8642,3.16361,228,4.0,75.754,75.483,76.84,10.0,9.0,0.0,12.0,7.0,0.0,0,26.899383983572896
7,70,2008,8,46.8642,3.16361,228,9.0,75.80199999999999,75.654,77.426,6.0,12.0,0.0,24.0,4.0,0.0,0,37.24024640657084
13,70,2008,8,46.8642,3.16361,228,3.0,75.634,75.293,76.693,38.0,4.0,2.0,58.0,3.0,2.0,0,23.45516769336071
